1,Cheri,Spicy Poffin,10,0,0,0,0,Red,0.1
2,Chesto,Dry Poffin,0,10,0,0,0,Blue,0.1
3,Pecha,Sweet Poffin,0,0,10,0,0,Pink,0.1
4,Rawst,Bitter Poffin,0,0,0,10,0,Green,0.1
5,Aspear,Sour Poffin,0,0,0,0,10,Yellow,0.1
6,Leppa,Spicy Poffin,10,0,10,10,10,Red,0.1
7,Oran,Dry Poffin,10,10,0,10,10,Blue,0.1
8,Persim,Sweet Poffin,10,10,10,0,10,Pink,0.1
9,Lum,Bitter Poffin,10,10,10,10,0,Green,0.35
10,Sitrus,Sour Poffin,0,10,10,10,10,Yellow,0.35
11,Figy,Spicy Poffin,15,0,0,0,0,Red,0.1
12,Wiki,Dry Poffin,0,15,0,0,0,Blue,0.1
13,Mago,Sweet Poffin,0,0,15,0,0,Pink,0.1
14,Aguav,Bitter Poffin,0,0,0,15,0,Green,0.1
15,Iapapa,Sour Poffin,0,0,0,0,15,Yellow,0.1
16,Razz,Dry Poffin,10,10,0,0,0,Red,0.1
17,Bluk,Sweet Poffin,0,10,10,0,0,Blue,0.1
18,Nanab,Bitter Poffin,0,0,10,10,0,Pink,0.1
19,Wepear,Sour Poffin,0,0,0,10,10,Green,0.1
20,Pinap,Spicy Poffin,10,0,0,0,10,Yellow,0.1
21,Pomeg,Spicy-Bitter Poffin,10,0,10,10,0,Red,0.35
22,Kelpsy,Dry-Sour Poffin,0,10,0,10,10,Blue,0.35
23,Qualot,Spicy-Sweet Poffin,10,0,10,0,10,Pink,0.35
24,Hondew,Dry-Bitter Poffin,10,10,0,10,0,Green,0.35
25,Grepa,Sweet-Sour Poffin,0,10,10,0,10,Yellow,0.35
26,Tamato,Spicy-Dry Poffin,20,10,0,0,0,Red,0.35
27,Cornn,Dry-Sweet Poffin,0,20,10,0,0,Blue,0.35
28,Magost,Sweet-Bitter Poffin,0,0,20,10,0,Pink,0.35
29,Rabuta,Bitter-Sour Poffin,0,0,0,20,10,Green,0.35
30,Nomel,Spicy-Sour Poffin,10,0,0,0,20,Yellow,0.35
31,Spelon,Spicy-Dry Poffin,30,10,0,0,0,Pink,0.35
32,Pamtre,Dry-Sweet Poffin,0,30,10,0,0,Blue,0.35
33,Watmel,Sweet-Bitter Poffin,0,0,30,10,0,Green,0.35
34,Durin,Bitter-Sour Poffin,0,0,0,30,10,Green,0.35
35,Belue,Sour-Spicy Poffin,10,0,0,0,30,Blue,0.35
36,Occa,Spicy-Sweet Poffin,15,0,10,0,0,Red,0.5
37,Passho,Dry-Bitter Poffin,0,15,0,10,0,Blue,0.5
38,Wacan,Sweet-Sour Poffin,0,0,15,0,10,Yellow,0.5
39,Rindo,Bitter-Spicy Poffin,10,0,0,15,0,Green,0.5
40,Yache,Sour-Dry Poffin,0,10,0,0,15,Blue,0.5
41,Chople,Spicy-Bitter Poffin,15,0,0,10,0,Red,0.5
42,Kebia,Dry-Sour Poffin,0,15,0,0,10,Green,0.5
43,Shuca,Sweet-Spicy Poffin,10,0,15,0,0,Yellow,0.5
44,Coba,Bitter-Dry Poffin,0,10,0,15,0,Blue,0.5
45,Payapa,Sour-Sweet Poffin,0,0,10,0,15,Red,0.5
46,Tanga,Spicy Poffin,20,0,0,0,10,Green,0.5
47,Charti,Dry Poffin,10,20,0,0,0,Yellow,0.5
48,Kasib,Sweet Poffin,0,10,20,0,0,Pink,0.5
49,Haban,Bitter Poffin,0,0,10,20,0,Red,0.5
50,Colbur,Sour Poffin,0,0,0,10,20,Pink,0.5
51,Babiri,Spicy-Dry Poffin,25,10,0,0,0,Green,0.5
52,Chilan,Dry-Sweet Poffin,0,25,10,0,0,Yellow,0.5
53,Liechi,Sweet-Spicy Poffin,30,10,30,0,0,Yellow,0.65
54,Ganlon,Bitter-Dry Poffin,0,30,10,30,0,Blue,0.65
55,Salac,Sour-Sweet Poffin,0,0,30,10,30,Green,0.65
56,Petaya,Spicy-Bitter Poffin,30,0,0,30,10,Pink,0.65
57,Apicot,Dry-Sour Poffin,10,30,0,0,30,Blue,0.65
58,Lansat,Spicy-Sweet Poffin,30,10,30,10,30,Pink,1
59,Starf,Spicy-Sweet Poffin,30,10,30,10,30,Green,1
60,Enigma,Spicy-Dry Poffin,40,10,0,0,0,Yellow,0.75
61,Micle,Dry-Sweet Poffin,0,40,10,0,0,Green,0.75
62,Custap,Sweet-Bitter Poffin,0,0,40,10,0,Red,0.75
63,Jaboca,Bitter-Sour Poffin,0,0,0,40,10,Yellow,0.75
64,Rowap,Sour-Spicy Poffin,10,0,0,0,40,Blue,0.75
